	tSNE1	tSNE2
1001200614_C2	-19.550358	-2.3539345
1001200614_C3	-20.565027	16.530836
1001200614_C5	9.415728	13.907096
1001200614_C6	-8.619872	-59.36374
1001200614_C7	-4.417965	-39.29794
1001200614_C8	-2.0870738	-40.53772
1001200614_C9	3.5477595	7.477474
1001200614_D1	-25.210033	9.506813
1001200614_D10	-13.0506	25.922928
1001200614_D11	-0.27604875	7.69602
1001200614_D12	-21.237001	16.231737
1001200614_D2	-23.721722	16.32388
1001200614_D5	-20.379103	3.7659118
1001200614_D6	5.4112697	-17.942635
1001200614_D7	3.3478038	-21.724026
1001200614_D8	10.252799	-53.426685
1001200614_D9	-12.246533	33.833614
1001200614_E10	-16.753036	5.824532
1001200614_E11	-7.491557	20.1057
1001200614_E12	4.46683	12.122431
1001200614_E2	-23.787943	13.708265
1001200614_E3	-21.868212	2.330668
1001200614_E4	-17.400398	-39.381824
1001200614_E5	-19.49706	12.570764
1001200614_E6	0.76631874	-19.43634
1001200614_E8	-4.715009	-47.367702
1001200614_E9	-12.68728	32.45127
1001200614_F11	-5.853536	29.116209
1001200614_F12	-7.746982	21.383133
1001200614_F2	-18.346844	19.488514
1001200614_F3	-10.696321	26.636667
1001200614_F4	-20.853947	19.071932
1001200614_F5	-24.711613	-1.2286811
1001200614_F6	-1.702138	-39.12448
1001200614_F7	-10.26284	-50.56819
1001200614_F8	-3.951892	-40.342373
1001200614_F9	-24.715929	13.157204
1001200614_G1	-23.741753	17.139832
1001200614_G11	-13.202981	-55.93462
1001200614_G2	-25.18381	16.985374
1001200614_G3	-26.433218	-5.3499537
1001200614_G4	-24.759287	10.892073
1001200614_G5	-18.517923	-0.5552272
1001200614_G6	5.2757025	-20.776236
1001200614_G7	-1.961452	-37.650562
1001200614_G8	-14.157525	-31.110245
1001200614_G9	-6.3050575	29.44807
1001200614_H1	6.505407	-53.72398
1001200614_H10	-12.493639	30.103062
1001200614_H2	-17.02412	-1.026631
1001200614_H3	-22.918467	10.994089
1001200614_H4	-21.422281	5.613004
1001200614_H6	-1.7661569	-40.88394
1001200614_H8	-5.380329	-48.563805
1001200614_H9	-4.822925	17.241457
1001200615_A1	-4.658152	15.589877
1001200615_A2	23.222197	24.9681
1001200615_A3	14.816332	27.960754
1001200615_A4	27.217623	12.985221
1001200615_A6	-6.2437196	4.7015314
1001200615_B1	-4.1615067	27.163645
1001200615_B2	0.5890405	-53.294666
1001200615_B3	20.178993	1.0540805
1001200615_B4	29.464647	29.49968
1001200615_B5	-12.590983	-56.320652
1001200615_B6	31.95291	19.748983
1001200615_C1	-12.845582	23.178677
1001200615_C2	35.386063	23.050005
1001200615_C3	-3.5324526	-41.998886
1001200615_C4	-1.8133105	-51.021164
1001200615_C5	29.758995	22.170643
1001200615_D2	-0.9523305	29.197666
