	tSNE1	tSNE2
1001200627_D3	-10.968505	-9.039253
1001200627_D5	5.236858	-2.2932265
1001200627_D6	1.0100107	-0.43553457
1001200627_E1	-11.675688	-12.32289
1001200627_E2	15.362739	4.731352
1001200627_E4	-14.022341	-10.464949
1001200627_E5	5.011985	-0.9770217
1001200627_E6	-13.497859	-10.876493
1001200627_F2	-13.119214	-12.399995
1001200627_F3	-11.6768055	-8.811952
1001200627_F4	16.102669	3.578573
1001200627_F5	-13.814761	-8.8746395
1001200627_G1	-14.246653	-8.596326
1001200627_G2	4.081319	-1.2683207
1001200627_G3	-13.190303	-8.728843
1001200627_G4	-15.050232	-9.64047
1001200627_G6	4.399629	1.3326141
1001200627_H1	-13.570821	-14.639085
1001200627_H2	-12.22141	-8.067115
1001200627_H3	-14.027481	-9.41681
1001200627_H5	13.502463	7.4511285
1001200627_H6	-14.854653	-10.468041
