	tSNE1	tSNE2
1001200609_H7	-22.513092	43.864254
1001200610_A1	-41.477962	-20.643341
1001200610_A10	-27.111778	-5.9000654
1001200610_A12	-24.632477	-10.3226385
1001200610_A3	-17.79785	30.816502
1001200610_A4	-28.23607	-8.420077
1001200610_A5	5.0417657	-6.813898
1001200610_A6	1.7090003	-5.1271
1001200610_A9	-32.355915	50.368385
1001200610_B10	23.171299	-13.524484
1001200610_B11	-28.27983	-7.378647
1001200610_B12	-25.667559	-9.911368
1001200610_B5	-1.8233935	6.897574
1001200610_B6	-28.21896	39.35387
1001200610_B7	-25.346897	41.75879
1001200610_B8	-19.457407	-3.005303
1001200610_B9	-46.946266	27.837591
1001200610_C1	-40.142742	-19.63952
1001200610_C10	-26.280159	-5.046792
1001200610_C11	-24.935823	-4.6024528
1001200610_C3	-13.300379	-2.1545062
1001200610_C4	-2.1328785	3.2414105
1001200610_C5	5.799259	-8.60686
1001200610_C6	-32.83064	39.647743
1001200610_C7	-26.953144	39.49048
1001200610_C8	17.68539	0.6292339
1001200610_C9	-2.1043606	27.651575
1001200610_D1	-41.31921	-22.25996
1001200610_D10	31.45418	-9.125072
1001200610_D12	34.76906	-7.128178
1001200610_D3	-0.42899287	22.535772
1001200610_D5	3.5959964	-14.219965
1001200610_D6	-0.5532787	-5.909733
1001200610_D8	33.11245	-9.292315
1001200610_E1	-42.07126	-21.126013
1001200610_E10	-26.047466	-8.029247
1001200610_E11	-26.633673	-9.190087
1001200610_E3	-24.30719	35.951256
1001200610_E4	-0.62912613	22.957045
1001200610_E5	1.244749	-11.206339
1001200610_E6	5.3115535	-10.544866
1001200610_E7	-23.579845	-11.538924
1001200610_E8	34.99312	-12.603807
1001200610_F10	1.2879094	-1.6805304
1001200610_F12	-24.97755	-11.3823395
1001200610_F3	-51.547558	27.588625
1001200610_F4	-48.79499	25.06016
1001200610_F5	-14.638237	-12.818384
1001200610_F6	-1.9107314	3.9601138
1001200610_F7	14.071485	-19.30143
1001200610_F8	16.251991	-5.5442986
1001200610_F9	-34.965157	37.217113
1001200610_G10	8.045912	-9.130633
1001200610_G11	-0.4409317	-8.577475
1001200610_G3	-13.046693	2.3159363
1001200610_G4	-13.891727	-2.6642835
1001200610_G5	15.40392	-12.218372
1001200610_G7	-15.01123	-1.6240879
1001200610_G8	4.530411	-4.6336474
1001200610_G9	42.54995	-17.721409
1001200610_H10	3.4520252	-12.891472
1001200610_H3	-23.358618	-8.746883
1001200610_H4	-12.979515	-1.9705397
1001200610_H6	-17.206186	31.902998
1001200610_H7	22.273739	-14.3604555
1001200610_H8	10.212453	-22.979443
1001200610_H9	-34.1371	39.170605
1001200611_A10	18.655672	-20.432573
1001200611_A11	13.160943	-21.675188
1001200611_A12	14.699258	-15.760799
1001200611_A2	37.64753	-13.661399
1001200611_A3	33.786118	-11.937132
1001200611_A4	-41.96625	26.275127
1001200611_A5	-32.511395	51.202915
1001200611_A7	42.05188	-15.271849
1001200611_A8	12.105609	-12.991969
1001200611_A9	9.698732	-20.699963
1001200611_B10	1.9543692	-8.305119
1001200611_B11	12.661775	-17.948637
1001200611_B12	32.34809	-14.175473
1001200611_B3	37.214054	-25.884989
1001200611_B4	38.321323	-19.759039
1001200611_B5	43.37253	-13.6045685
1001200611_B6	22.446085	-23.181837
1001200611_B8	-21.694323	-7.069117
1001200611_C10	24.464626	-23.605482
1001200611_C11	6.9831634	-4.6904254
1001200611_C12	14.549094	-17.949066
1001200611_C2	-24.939325	-9.770917
1001200611_C3	-44.203575	26.916267
1001200611_C4	-33.052326	41.08787
1001200611_C5	36.62722	-29.799124
1001200611_C6	-14.956336	-11.974302
1001200611_D11	8.320971	-21.184757
1001200611_D12	35.280403	-31.402042
1001200611_D4	42.90126	-12.32753
1001200611_E10	8.416736	-13.64052
1001200611_E11	30.19917	-23.257172
1001200611_E2	-25.071043	-11.504851
1001200611_E3	-33.16632	48.235474
1001200611_E4	-40.080368	23.74597
1001200611_E5	33.968376	-14.718633
1001200611_E6	40.861813	-28.793432
1001200611_E9	10.000214	-21.790707
1001200611_F1	-24.082794	-9.907056
1001200611_F10	13.160319	-17.902815
1001200611_F11	12.788864	-24.68918
1001200611_F12	8.742615	-4.1607223
1001200611_F2	31.796822	-11.617237
1001200611_F4	-1.3484074	26.888428
1001200611_F5	40.729927	-8.27738
1001200611_F6	40.44767	-20.29177
1001200611_F9	31.23946	-10.401015
1001200611_G1	30.997852	-17.267391
1001200611_G10	35.98186	-21.568441
1001200611_G11	8.963795	-20.05073
1001200611_G2	-28.80453	-12.289865
1001200611_G4	-36.707264	29.191294
1001200611_G6	43.62577	-27.425604
1001200611_G9	18.675182	-21.399813
1001200611_H10	35.68498	-14.477516
1001200611_H11	15.381213	-20.89519
1001200611_H4	-0.32899547	27.629412
1001200611_H5	41.156616	-8.852035
1001200611_H6	22.435934	-14.955685
1001200611_H8	12.07461	-1.0367975
1001200611_H9	1.0272275	-13.169821
1001200612_A10	35.023598	-10.756464
1001200612_A2	-44.778725	31.742805
1001200612_A3	11.451844	-22.84916
1001200612_A4	39.58284	-31.481113
1001200612_A5	13.362444	16.833338
1001200612_A6	14.113058	18.573395
1001200612_A7	37.027065	-26.467892
1001200612_B1	34.014984	-21.155329
1001200612_B10	-11.025287	0.8523167
1001200612_B2	-37.46519	40.76244
1001200612_B3	41.469772	-26.867817
1001200612_B4	40.22183	-26.72495
1001200612_B5	13.39593	16.865595
1001200612_B6	36.59315	-31.661732
1001200612_B7	35.174377	-16.902842
1001200612_B9	-6.421667	0.33278576
1001200612_C1	37.64341	-31.146635
1001200612_C10	-27.1383	-6.3779545
1001200612_C2	42.759476	-26.524813
1001200612_C3	28.277094	-26.136795
1001200612_C4	42.972477	-30.620663
