	tSNE1	tSNE2
1001200622_B9	9.882511	-28.039259
1001200622_C10	-22.323942	10.205669
1001200622_C11	14.523154	-19.640104
1001200622_C12	29.245565	-12.862124
1001200622_C2	26.110157	-15.756789
1001200622_C3	23.89448	-3.11366
1001200622_C4	16.452108	-7.2358894
1001200622_C9	-4.441345	15.849136
1001200622_D1	24.493284	-19.642262
1001200622_D10	-16.079693	2.388876
1001200622_D11	9.106214	-17.36691
1001200622_D2	19.192636	-17.471848
1001200622_D3	-1.7352558	-2.8240457
1001200622_D9	-14.399036	12.213181
1001200622_E10	-22.238752	0.6469898
1001200622_E2	9.565086	-20.551434
1001200622_E4	27.124578	-18.425386
1001200622_F1	13.9417	-15.957189
1001200622_F10	-10.631072	4.6514297
1001200622_F11	18.543266	-19.124363
1001200622_F2	3.5307746	-8.870938
1001200622_F9	-4.850979	7.586012
1001200622_G1	27.84906	-19.380653
1001200622_G10	-14.131251	7.52995
1001200622_G12	23.343317	-24.938581
1001200622_G2	27.845217	-16.413473
1001200622_G3	23.342686	-16.596722
1001200622_G4	27.161768	-22.198591
1001200622_G9	-8.138412	5.0838413
1001200622_H10	-7.0955987	26.96164
1001200622_H11	24.850283	-23.981485
1001200622_H2	15.391596	-17.65163
1001200622_H3	23.526705	-20.10425
1001200622_H4	8.595559	-19.408424
1001200622_H9	-13.14457	36.351273
1001200623_A1	23.991516	-27.721577
1001200623_A2	27.739475	-23.931528
1001200623_A3	20.07719	-15.825162
1001200623_A4	-16.870317	1.0771494
1001200623_A6	-1.0773613	-10.135753
1001200623_A7	30.718332	-29.719044
1001200623_A8	-19.269176	35.176064
1001200623_B2	19.123375	-1.8024404
1001200623_B4	-17.491598	4.24051
1001200623_B5	-7.834981	-2.5813973
1001200623_B7	18.278849	-19.77544
1001200623_B8	-10.886427	-4.164756
1001200623_C3	15.051761	-23.598469
1001200623_C4	3.984499	-21.100517
1001200623_C5	9.499299	-26.909815
1001200623_C6	9.09441	-23.860847
1001200623_C7	15.188676	-2.9629688
1001200623_D2	30.983946	-16.387152
1001200623_D4	-24.559988	29.544888
1001200623_D5	11.810349	-20.258026
1001200623_D6	20.304728	-29.65166
1001200623_D7	29.692055	-12.869516
1001200623_D8	-0.6156858	-17.29496
1001200623_E2	21.146772	-22.34943
1001200623_E3	-17.500042	-2.3740451
1001200623_E4	-20.610344	-3.0719209
1001200623_E5	-17.743975	5.0004945
1001200623_E6	5.6264663	-18.313326
1001200623_E7	-4.557934	-18.194069
1001200623_F3	-22.377787	11.81834
1001200623_F4	-17.248327	2.1356354
1001200623_F5	-0.5057446	-8.164537
1001200623_F6	7.6143985	-13.421807
1001200623_G2	29.005453	-18.977217
1001200623_G3	-18.845953	6.107474
1001200623_G4	4.398384	-7.3612347
1001200623_G5	-17.968184	3.5251849
1001200623_G6	11.2768	-15.948719
1001200623_G7	30.133886	-28.706139
1001200623_H3	11.936385	-17.96798
1001200623_H4	8.570662	-25.629786
1001200623_H5	-21.180882	24.97212
